,frequency
getting everything else,1
getting everything,1
getting devoured myself on,1
getting devoured myself,1
getting devoured,1
getting close to the,1
getting centers in 1901,1
getting caught lying,1
getting fed up,1
getting caught,1
getting called off,1
getting build in tunis,1
getting build in,1
getting build,1
getting belgium this turn,1
getting belgium this,1
getting belgium,1
getting fed,1
getting fed up with,1
getting me back,1
getting in,1
getting me,1
getting long great with,1
getting long great,1
getting long,1
getting into burgundy would,1
getting into burgundy,1
getting in the way,1
getting in the,1
getting germany to flip,1
getting from,1
getting germany to,1
getting germany,1
getting ganged up on,1
getting ganged up,1
getting funny ideas,1
getting funny,1
getting from each of,1
getting from each,1
getting too crazy,1
getting too crazy in,1
getting too far,1
give me some presence,1
give reason,1
give out by the,1
give out by,1
give out,1
give norway and then,1
give norway and,1
give norway,1
give me some time,1
give me some,1
give reason why they,1
give me my supply,1
give me my,1
give me more options,1
give me more,1
give me lot to,1
give me lot,1
give me few days,1
give me few,1
give reason why,1
give the,1
getting too far ahead,1
give up the,1
give you heads up,1
give you heads,1
give you bla,1
give you and three,1
give you,1
give warsaw shot,1
give warsaw,1
give up the channel,1
give up paris,1
give the impression,1
give up my build,1
give up my,1
give up denmark this,1
give up and you,1
give up and,1
give up,1
give the word,1
give the impression that,1
give me,1
give it the thumbs,1
give it the,1
gf last night,1
giant threat,1
giant and in turf,1
giant and in,1
giant and,1
giant,1
gf my family,1
gf my,1
gf last night forgot,1
gf last,1
give it some thought,1
gf and she gets,1
gf and she,1
gf and,1
gf,1
getting your help this,1
getting your,1
getting triple teamed but,1
getting triple teamed,1
giant threat when,1
gift,1
gift to,1
gift to the,1
give it some,1
give it shot,1
give it back,1
give it,1
give him limited time,1
give him limited,1
give him,1
give fight,1
give false info,1
give false,1
give england mao,1
give england,1
give away anything youve,1
give away anything,1
give away,1
give,1
gift to the culinary,1
go for it and,1
go for kie or,1
going to continue,1
going against austria,1
going down,1
going austria just wanted,1
going austria just,1
going austria,1
going anywhere,1
going all in with,1
going all in,1
going all,1
going against,1
going down in scandinavia,1
going after you next,1
going after you maybe,1
going after you just,1
going after you,1
going after turkey then,1
going after turkey he,1
going after turkey,1
going after them together,1
going down in,1
going down seems,1
going after the austrians,1
going for them,1
going from the,1
going from,1
going forward,1
going for tyrolia and,1
going for tyrolia,1
going for trieste this,1
going for trieste italy,1
going for trieste,1
going for that sexy,1
going down seems pretty,1
going for that,1
going for russia,1
going for one,1
going for,1
going elsewhere need something,1
going elsewhere need,1
going easy with me,1
going easy,1
going after them,1
going after the,1
going from there,1
goes for spa,1
goes the,1
goes right should be,1
goes right should,1
goes right,1
goes notwithstanding the strength,1
goes notwithstanding the,1
goes it,1
goes for the build,1
goes for por and,1
goes the western front,1
goes for por,1
goes for budapest while,1
goes for budapest,1
goes for,1
goes down,1
goes diplomacy with your,1
goes diplomacy with,1
goes diplomacy,1
goes the western,1
goes to,1
going after scandanavia or,1
going about helping,1
going after scandanavia,1
going after me or,1
going after me,1
going after france right,1
going after france,1
going after england,1
going after,1
going about helping me,1
going about,1
goes to black,1
going,1
goes we re allied,1
goes we re,1
goes we,1
goes to turkey,1
goes to picardy again,1
goes to picardy,1
goes to black sea,1
going from the english,1
going full,1
go for mao,1
going tell,1
going to apu or,1
going to apu,1
going to actually back,1
going to actually,1
going to,1
going there,1
going tell italy agree,1
going tell italy,1
going straight for them,1
going to ask about,1
going straight for,1
going straight,1
going south to the,1
going south to help,1
going south to,1
going south,1
going so far,1
going so,1
going to ask,1
going to ask you,1
going sil or back,1
going to be party,1
going to cly,1
going to build units,1
going to build,1
going to break my,1
going to break into,1
going to bounce me,1
going to bounce,1
going to blame using,1
going to be moving,1
going to attack,1
going to be long,1
going to be having,1
going to be focused,1
going to be candid,1
going to be as,1
going to be an,1
going to be,1
going to attack them,1
going simultaneously,1
going sil or,1
going full court,1
going ideally for me,1
going into,1
going in your part,1
going in your,1
going in the west,1
going in the south,1
going in the,1
going in brest,1
going in,1
going ideally for,1
going into the,1
going ideally,1
going here,1
going germany just,1
going germany,1
going further,1
going full kimono with,1
going full kimono,1
going full court press,1
going into ber,1
going into the game,1
going sil,1
going on tn,1
going over there comrade,1
going over there,1
going over,1
going on with your,1
going on with you,1
going on with turkey,1
going on with the,1
going on with moscow,1
going on lol,1
going mostly,1
going on in russia,1
going on in,1
going on and want,1
going on and,1
going on,1
going next,1
going mostly fleets because,1
going mostly fleets,1
goes,1
goddamnit they re going,1
goddamnit they re,1
go now,1
go on,1
go of belgium,1
go of,1
go nowhere but against,1
go nowhere but,1
go nowhere,1
go now but we,1
go now but,1
go north in the,1
go on date now,1
go north in,1
go north,1
go no further,1
go no,1
go next from here,1
go next from,1
go next,1
go joint against france,1
go on date,1
go over,1
go joint,1
go see,1
go the way,1
go the,1
go tattle to you,1
go tattle to,1
go situation but really,1
go situation but,1
go situation,1
go see what happened,1
go regarding his unit,1
go over before,1
go regarding his,1
go regarding,1
go play another game,1
go play another,1
go play,1
go over there with,1
go over there,1
go over before adjudication,1
go joint against,1
go it alone at,1
goddamnit they,1
go for stp,1
go forward with anything,1
go forward,1
go for your original,1
go for tri,1
go for the grand,1
go for the,1
go for that,1
go for sweden,1
go for silesia instead,1
go from here,1
go for silesia,1
go for rum here,1
go for rum,1
go for mun and,1
go for mun,1
go for mos next,1
go for mos,1
go for mao then,1
go from,1
go from kiel and,1
go it alone,1
go in anyway or,1
go it,1
go into stp my,1
go into stp,1
go into hol,1
go into brest while,1
go into brest,1
go into,1
go in blind,1
go in anyway,1
go from the,1
go in,1
go his way wouldn,1
go his,1
go hel,1
go get you some,1
go get you,1
go from there,1
go from the top,1
go the way it,1
go then,1
go then if,1
go well for,1
go with northern opening,1
go with northern,1
go with it,1
go with austria,1
go with against it,1
go with against,1
go with,1
go well for germany,1
go ven to,1
goal,1
go under this arrangement,1
go under this,1
go under,1
go tus pie mar,1
go to you,1
go to wes ll,1
go to war with,1
go to war,1
go with that,1
goal and,1
go then if russia,1
gobbles up whole bunch,1
goddamnit,1
god knows how long,1
god knows how,1
god knows,1
god had updated my,1
god had updated,1
god had,1
god,1
gobbles up whole,1
goal and we,1
gobbles up,1
gobbles,1
gob bal,1
gob,1
goal is to get,1
goal is to,1
goal is,1
goal and we didnt,1
go to tyrolia would,1
go to tyrolia,1
go to tri,1
go through until,1
go to albania instead,1
go to albania,1
go to alb,1
go to,1
go through with it,1
go through with denmark,1
go through with,1
go through until it,1
go through or if,1
go to rumania and,1
go through or,1
go through,1
go though you ve,1
go though you,1
go though,1
go there with your,1
go there with,1
go there,1
go to as germany,1
go to attack,1
go to attack or,1
go to austria,1
go to rumania,1
go to ruhr,1
go to picardy to,1
go to picardy,1
go to norwegian sea,1
go to norwegian,1
go to norway or,1
go to moscow as,1
go to moscow,1
go to me,1
go to mao this,1
go to mao,1
go to greece and,1
go to greece,1
go to bed after,1
go to bed,1
go to austria and,1
getting back together again,1
getting back together,1
getting back control of,1
germany where,1
germany who has been,1
germany who has,1
germany who,1
germany while england is,1
germany while england,1
germany while,1
germany where you want,1
germany where you,1
germany was supporting me,1
germany will be,1
germany was supporting,1
germany was,1
germany very quickly,1
germany very,1
germany uses munich or,1
germany uses munich,1
germany uses,1
germany unified,1
germany will,1
germany will be thrilled,1
germany tries push,1
germany would bounce,1
germany would turn to,1
germany would turn,1
germany would plan,1
germany would help italy,1
germany would help,1
germany would have to,1
germany would have,1
germany would bounce them,1
germany would be,1
germany will do,1
germany would,1
germany with,1
germany will win,1
germany will try,1
germany will simply roll,1
germany will simply,1
germany will have,1
germany will do with,1
germany tries push there,1
germany tries,1
germany would you like,1
germany shares lot about,1
germany think that am,1
germany think that,1
germany think,1
germany the same way,1
germany the same,1
germany the,1
germany take hol,1
germany take,1
germany shares lot,1
germany think the third,1
germany shares,1
germany seems to like,1
germany seems to,1
germany seems,1
germany seem to be,1
germany seem to,1
germany seem,1
germany said theyre trying,1
germany think the,1
germany this,1
germany tomorrow,1
germany to flip,1
germany told me your,1
germany told me,1
germany told,1
germany to support them,1
germany to support,1
germany to go after,1
germany to go,1
germany to flip back,1
germany to do here,1
germany this round,1
germany to do,1
germany to counter russia,1
germany to counter,1
germany to build the,1
germany to build,1
germany to betray them,1
germany to betray,1
germany to,1
germany would you,1
germanys,1
getting back control,1
get build in,1
get builds first ank,1
get builds first,1
get builds as fleets,1
get builds as,1
get builds and stymie,1
get builds,1
get build so have,1
get build so,1
get build here though,1
get bul an,1
get build here,1
get build,1
get bounced in burgundy,1
get bounced from uk,1
get bounced from,1
get bounced,1
get both builds from,1
get both builds,1
get bul,1
get bul an even,1
get better picture based,1
get down quickly,1
get france,1
get fleet into the,1
get fleet into,1
get fleet,1
get england out of,1
get england out,1
get england,1
get down quickly unless,1
get down,1
get center,1
get close to resolving,1
get close to,1
get close,1
get clearer than that,1
get clearer than,1
get clearer,1
get center and get,1
get center and,1
get both,1
get better picture,1
germanys help,1
get all their territories,1
get and more,1
get and get,1
get and,1
get an advantage while,1
get an advantage,1
get an,1
get all up in,1
get all up,1
get all their,1
get another,1
get all,1
get,1
germnays foothold in lvn,1
germnays foothold in,1
germnays foothold,1
germnays,1
germanys help with france,1
germanys help with,1
get and more beneficial,1
get another army,1
get better feel for,1
get back,1
get better feel,1
get better,1
get belgium,1
get back to you,1
get back to real,1
get back to me,1
get back to,1
get back bud,1
get austria to trust,1
get another army built,1
get austria to tell,1
get austria to do,1
get austria to,1
get austria,1
get any help,1
get any,1
get another build this,1
get another build,1
germany said theyre,1
germany said,1
germany russia yall played,1
germany holding down the,1
germany if he didnt,1
germany if he,1
germany if,1
germany how are things,1
germany how are,1
germany how,1
germany hoped would just,1
germany hoped,1
germany holding down,1
germany if you re,1
germany holding,1
germany here,1
germany has turned on,1
germany has turned,1
germany has to play,1
germany has to go,1
germany has to,1
germany has been good,1
germany if you,1
germany ill,1
germany has,1
germany in my opinion,1
germany is also,1
germany is about to,1
germany is about,1
germany is,1
germany into belgium,1
germany in the future,1
germany in sweden this,1
germany in sweden,1
germany in my,1
germany ill vouch,1
germany in exchange for,1
germany in exchange,1
germany in bel and,1
germany in bel,1
germany in,1
germany im working hard,1
germany im,1
germany ill vouch for,1
germany has been,1
germany hard right now,1
germany russia yall,1
germany do,1
germany doesnt have,1
germany doesnt,1
germany doesn like me,1
germany doesn like,1
germany doesn,1
germany does not retake,1
germany does not,1
germany does,1
germany could easily participate,1
germany england,1
germany could,1
germany confirm with you,1
germany confirm with,1
germany confirm,1
germany can support from,1
germany can support,1
germany can,1
germany bumps me in,1
germany doesnt have to,1
germany england austria russia,1
germany hard right,1
germany from walking,1
germany hard,1
germany had their hands,1
germany had their,1
germany had,1
germany good to talk,1
germany good to,1
germany good,1
germany from walking into,1
germany from the jump,1
germany england then,1
germany from the east,1
germany from the,1
germany from defending it,1
germany from defending,1
germany from,1
germany france alliance is,1
germany france alliance,1
germany france,1
germany is also willing,1
germany is annoyed,1
germany is annoyed at,1
germany onboard with taking,1
germany or england in,1
germany or england,1
germany or are you,1
germany or are they,1
germany or are,1
germany or,1
germany opened to netherlands,1
germany opened to,1
germany onboard with,1
germany or france,1
germany onboard,1
germany on your side,1
germany on your,1
germany on warsaw,1
germany on,1
germany now so no,1
germany now so,1
germany nor austria benefits,1
germany or england yet,1
germany or france you,1
germany is backing,1
germany reached out,1
germany russia italy on,1
germany russia italy,1
germany russia,1
germany right,1
germany really be easy,1
germany really be,1
germany really,1
germany reached out to,1
germany reached,1
germany or south,1
germany quickly,1
germany pressure,1
germany plays his cards,1
germany plays his,1
germany plans to do,1
germany plans to,1
germany plans,1
germany or south through,1
germany nor austria,1
germany nor,1
germany nice to make,1
germany is now,1
germany is the,1
germany is talking to,1
germany is talking,1
germany is open to,1
germany is open,1
germany is on board,1
germany is on,1
germany is now fishing,1
germany is not interested,1
germany nice to,1
germany is not,1
germany is keen on,1
germany is keen,1
germany is hella out,1
germany is hella,1
germany is feeling,1
germany is esther,1
germany is backing off,1
germany is the clear,1
germany is the holdout,1
germany is to,1
germany is to leave,1
germany nice,1
germany needs to not,1
germany needs to be,1
germany needs to,1
germany move into swe,1
germany lol,1
germany lack of,1
germany lack,1
germany just wanted to,1
germany just wanted,1
germany just have at,1
germany just have,1
germany just,1
germany italy alliance,1
germany isn on board,1
germany isn on,1
germany isn,1
get france out,1
get france out of,1
get free,1
get totally out of,1
get us to,1
get us,1
get upset when say,1
get upset when,1
get upset,1
get two and then,1
get two and,1
get two,1
get totally out,1
get us to distrust,1
get totally,1
get too much for,1
get too much,1
get too buddy buddy,1
get too big is,1
get too big,1
get too,1
get to work together,1
get us to break,1
get us to fight,1
get to walk into,1
get what you want,1
get worried sometimes,1
get worried,1
get with sweden and,1
get with sweden,1
get with,1
get where you are,1
get where you,1
get where,1
get what you,1
get verification,1
get what,1
get waltzed over,1
get waltzed,1
get vie and tri,1
get vie and,1
get vie,1
get verification from italy,1
get verification from,1
get to work,1
get to walk,1
get that too,1
get the fleet out,1
get them off,1
get them,1
get the turks to,1
get the turks,1
get the rest,1
get the hang of,1
get the hang,1
get the fleet where,1
get the fleet,1
get them out,1
get the feeling that,1
get the feeling,1
get the far eastern,1
get the far,1
get the best result,1
get the best,1
get the bal den,1
get the bal,1
get them off your,1
get them out if,1
get to tri easily,1
get to build northern,1
get to tri,1
get to the british,1
get to the,1
get to take,1
get to our two,1
get to our,1
get to it,1
get to go,1
get to build,1
get them to,1
get to,1
get through,1
get three builds so,1
get three builds,1
get three,1
get this,1
get them to tell,1
get them to support,1
get wrecked,1
get wrecked by,1
get wrecked by ven,1
gets rid of unit,1
getting,1
gets too weak it,1
gets too weak,1
gets too strong,1
gets too,1
gets to trust me,1
gets to trust,1
gets to,1
gets rid of,1
getting annoying,1
gets rid,1
gets part of the,1
gets part of,1
gets part,1
gets out of control,1
gets out of,1
gets out,1
gets one build,1
getting along,1
getting another,1
get you,1
getting attacked,1
getting back,1
getting austrian dots you,1
getting austrian dots,1
getting austrian,1
getting austria on your,1
getting austria on,1
getting austria,1
getting attacked from two,1
getting at,1
getting another build,1
getting around that,1
getting around,1
getting anything out of,1
getting anything out,1
getting anything myself,1
getting anything,1
getting any messages from,1
getting any messages,1
gets one,1
gets kissed when click,1
gets kissed when,1
get you to,1
get your fleet,1
get your 5th build,1
get your 5th,1
get your,1
get you two season,1
get you turkish build,1
get you turkish,1
get you to change,1
get you some of,1
gets kissed,1
get you some builds,1
get you into mar,1
get you into boh,1
get you into,1
get you in yes,1
get you in,1
get you build from,1
get you build,1
get your fleet to,1
get your support,1
get your support in,1
get your thoughts,1
gets jumped from,1
gets jumped,1
gets greedy and tries,1
gets greedy and,1
gets eliminated for stabbing,1
gets eliminated for,1
gets eliminated,1
gets build as long,1
gets build as,1
gets build,1
gets belgium,1
gets bamboozled,1
gets 18 he wins,1
gets 18 he,1
gets 18,1
gets,1
get your thoughts on,1
get the,1
get that really the,1
get free of them,1
get involved in the,1
get it on the,1
get it on,1
get it man,1
get it back,1
get it,1
get iri that means,1
get iri that,1
get iri,1
get involved in,1
get it since have,1
get involved,1
get into the ionian,1
get into the,1
get into stp,1
get into spain will,1
get into spain,1
get into position to,1
get into position,1
get it since,1
get it there,1
get into munich,1
get me some much,1
get my earlier,1
get munich or stp,1
get munich or,1
get munich,1
get more,1
get me to leave,1
get me to attack,1
get me to,1
get me some,1
get it there quickly,1
get me into sev,1
get me into,1
get me,1
get marseilles back,1
get kind of annoyed,1
get kind of,1
get it until next,1
get it until,1
get into munich in,1
get into denmark and,1
get that really,1
get germany onboard,1
get her,1
get half of the,1
get half,1
get group chat for,1
get group chat,1
get group,1
get go,1
get germany onboard with,1
get germany on your,1
get her support to,1
get germany on,1
get germany into belgium,1
get further along we,1
get further along,1
get further,1
get from austria if,1
get from austria,1
get from,1
get her support,1
get her to,1
get into denmark,1
get in the,1
get into conflict with,1
get into conflict,1
get into,1
get in touch,1
get in to venice,1
get in to,1
get in the way,1
get in the first,1
get in dominant position,1
get her to take,1
get in dominant,1
get in,1
get him to support,1
get him to play,1
get him to,1
get him but idk,1
get him but,1
get him,1
get my fleets,1
get my fleets around,1
get my fleets into,1
get ser bud can,1
get some,1
get solo,1
get significant number advantage,1
get significant number,1
get significant,1
get sev back in,1
get sev back,1
get sev,1
get ser bud,1
get some of france,1
get ser,1
get scooped by the,1
get scooped by,1
get scooped,1
get say in how,1
get say in,1
get say,1
get rum while they,1
get some of,1
get some time,1
get nerves,1
get stronger or even,1
get that from,1
get that convoy this,1
get taken this fall,1
get taken this,1
get taken,1
get stuck in standoff,1
get stuck in,1
get stuck,1
get stronger or,1
get some time with,1
get stronger,1
get stopped at the,1
get stopped at,1
get stopped,1
get something,1
get somebody help against,1
get somebody help,1
get somebody,1
get rum while,1
get rum,1
get roped into this,1
get one italian for,1
get ourselves on,1
get ourselves,1
get online again before,1
get online again,1
get online,1
get one of us,1
get one of my,1
get one of,1
get one italian,1
get roped into,1
get one build all,1
get one build,1
get one,1
get on the restart,1
get on the,1
get on,1
get nerves about all,1
get nerves about,1
get ourselves on the,1
get out,1
get out and,1
get out and you,1
get roped,1
get rid of russia,1
get rid if them,1
get rid,1
get position on france,1
get position on,1
get position,1
get past that line,1
get past that,1
get past,1
get par and mar,1
get par and,1
get par,1
get over lagergate and,1
get over lagergate,1
get over,1
get out of that,1
going to cly is,1
going to continue defensive,1
has finally,1
guilty for,1
gullible and just,1
gullible and,1
gullible,1
gulf of lyons and,1
gulf of lyons,1
gulf,1
guilty for questioning him,1
guilty for questioning,1
guilty about spending time,1
gunboat,1
guilty about spending,1
guilty about,1
guilty,1
guesswork on my part,1
guesswork on my,1
guesswork on,1
guesswork,1
guessing youre gonna get,1
gullible and just go,1
gunboat games,1
guessing youre,1
guy but as far,1
guy that,1
guy in paris next,1
guy in paris,1
guy in,1
guy for trying guess,1
guy for trying,1
guy but we wont,1
guy but we,1
guy but as,1
gunboat games through,1
guy but,1
guy and genuinely interested,1
guy and genuinely,1
guy and,1
guy,1
gut england,1
gut,1
gunboat games through that,1
guessing youre gonna,1
guessing you ll move,1
guy that trying to,1
guess you have,1
guessed that,1
guessed telling you bc,1
guessed telling you,1
guessed telling,1
guessed,1
guess you won go,1
guess you won be,1
guess you won,1
guess you could,1
guessed that you and,1
guess you can,1
guess you,1
guess who knows what,1
guess who knows,1
guess who,1
guess which,1
guess we will see,1
guess we will,1
guessed that you,1
guesses,1
guessing you ll,1
guessing games,1
guessing you,1
guessing turkey imposed dmzs,1
guessing turkey,1
guessing the latter,1
guessing the,1
guessing he wont support,1
guessing he wont,1
guessing he,1
guessing game until you,1
guesses when,1
guessing game until,1
guessing game,1
guessing,1
guesses you have to,1
guesses you have,1
guesses you,1
guesses when it comes,1
guesses when it,1
guy that trying,1
guy who,1
had talked,1
had italy,1
had made it too,1
had made it,1
had made,1
had love when don,1
had love when,1
had love,1
had italy betrayal moment,1
had italy betrayal,1
had issues sending me,1
had more time,1
had issues sending,1
had issues,1
had intended to make,1
had intended to,1
had intended,1
had in mind,1
had in,1
had hoped but will,1
had more,1
had more time to,1
had hoped,1
had ordered already but,1
had some time,1
had some notion of,1
had some notion,1
had some,1
had several players ask,1
had plans to,1
had plans,1
had people look,1
had non aggression pact,1
had much,1
had non aggression,1
had non,1
had nice weekend,1
had nice,1
had nap now if,1
had nap now,1
had much contact with,1
had much contact,1
had hoped but,1
had good weekend yeah,1
guy who havent,1
guys need to work,1
guys will make headway,1
guys will make,1
guys will,1
guys that say that,1
guys that say,1
guys that are lying,1
guys that are,1
guys that,1
guys need to,1
ha dont worry,1
guys need,1
guys he talked into,1
guys he talked,1
guys he,1
guys,1
guy who opened all,1
guy who opened,1
guy who havent worked,1
ha dont,1
ha dont worry man,1
had good weekend,1
had been some mind,1
had fairly busy week,1
had expressed interest in,1
had expressed interest,1
had expressed,1
had discussions with,1
had common interest in,1
had built in london,1
had built in,1
had been some,1
ha its so,1
had been,1
had any idea what,1
had any idea,1
had any,1
had accidentally switched,1
had accidentally,1
had,1
ha its so easy,1
guess we try the,1
guess we ll see,1
guess we ll,1
group chat,1
grow strong and grow,1
grow strong and,1
grow strong,1
grow but you ll,1
grow but you,1
grow,1
group chat for us,1
group chat for,1
ground to take scandinavia,1
growing and,1
ground to take,1
ground to,1
ground into italy first,1
ground into italy,1
ground into,1
ground for you even,1
ground for you,1
ground for,1
growing,1
growing and wiping,1
ground as agreed,1
growth of austria and,1
gte that army on,1
gte that army,1
gte that,1
grudges you need,1
grudges you,1
grudges,1
growth potential unfortunately,1
growth potential,1
growth of austria,1
growing and wiping out,1
growth of,1
growth,1
growing with armies all,1
growing with armies,1
growing with,1
growing out of control,1
growing out of,1
growing out,1
ground as agreed with,1
ground and you,1
guess we,1
greece though anyway,1
greece was sent last,1
greece was sent,1
greece was,1
greece unsupported unless you,1
greece unsupported unless,1
greece unsupported,1
greece to bulgaria,1
greece to,1
greece though,1
greece was the test,1
greece this year while,1
greece this year,1
greece this,1
greece seems like the,1
greece seems like,1
greece seems,1
greece right,1
greece over to smyrna,1
greece was the,1
greece when,1
ground and,1
greedy and tries to,1
ground,1
grind with austria,1
grind with,1
grind,1
green,1
greedy right away but,1
greedy right away,1
greedy right,1
greedy and tries,1
greece when we,1
greedy and,1
greedy,1
greece would be walk,1
greece would be,1
greece who will otherwise,1
greece who will,1
greece who,1
greece when we have,1
gtg,1
gtg pretty,1
gtg pretty soon,1
guess he really,1
guess it means they,1
guess it means,1
guess it,1
guess is that he,1
guess is that germany,1
guess is that,1
guess is,1
guess he really wanted,1
guess asking if you,1
guess it will,1
guess asking if,1
guess asking,1
guess and letting you,1
guess and letting,1
guess and,1
guess,1
guarding the med,1
guarding the,1
guess it right,1
guess it will be,1
gtg pretty soon but,1
guess that,1
guess this might be,1
guess there other question,1
guess there other,1
guess the user name,1
guess the user,1
guess the,1
guess that turned,1
guess that compliment,1
guess right again,1
guess its in,1
guess right,1
guess on spain marseilles,1
guess on spain,1
guess on,1
guess nwg to edi,1
guess nwg to,1
guess nwg,1
guess its in your,1
guarding,1
guarded and north sea,1
guarded and north,1
guarantee that dont lose,1
guarantee when germany can,1
guarantee when germany,1
guarantee when,1
guarantee to hold rum,1
guarantee to hold,1
guarantee to,1
guarantee that you take,1
guarantee that you,1
guarantee that dont,1
guarded and,1
guarantee that can help,1
guarantee that can,1
guarantee mine could you,1
guarantee mine could,1
guarantee mine,1
guarantee berlin for,1
guarantee berlin,1
guarantee,1
guaranteed,1
guaranteed builds,1
guaranteed builds and,1
guaranteed builds and more,1
guarded,1
guard bit,1
guard,1
guarantees your build but,1
guarantees your build,1
guarantees your,1
guarantees get in to,1
guarantees get in,1
guarantees get,1
guarantees,1
guaranteed those,1
guaranteed so long as,1
guaranteed so long,1
guaranteed so,1
guaranteed for you this,1
guaranteed for you,1
guaranteed for,1
had some time to,1
had talked about,1
going to convoy,1
happy to move,1
happy to support,1
happy to see you,1
happy to see,1
happy to pass on,1
happy to pass,1
happy to not go,1
happy to not,1
happy to move out,1
happy to learn if,1
happy to take the,1
happy to intervene with,1
happy to intervene,1
happy to have my,1
happy to have,1
happy to go after,1
happy to go,1
happy to do whatever,1
happy to do any,1
happy to take,1
happy to work,1
happy to convoy your,1
hard for,1
hard on,1
hard for you to,1
hard for you and,1
hard for you,1
hard for me to,1
hard for me,1
hard for england to,1
hard for england,1
hard feelings against anyone,1
hard,1
hard feelings against,1
hard feelings,1
hard commiting against russia,1
hard commiting against,1
hard commiting,1
hard commit against russia,1
hard commit against,1
hard commit,1
happy to do,1
happy to convoy,1
hard on turning england,1
happens and keep you,1
happens should,1
happens move out of,1
happens move out,1
happens move,1
happens early,1
happens before or after,1
happens before or,1
happens before,1
happens and keep,1
happens should be in,1
happens and,1
happens,1
happening with that army,1
happening with that,1
happening with,1
happening or did you,1
happening or did,1
happening or,1
happens should be,1
happens to,1
happy to change if,1
happy to accept this,1
happy to change,1
happy to broach,1
happy to bounce black,1
happy to bounce,1
happy to aid in,1
happy to aid,1
happy to agree to,1
happy to agree,1
happy about those,1
happens to me,1
happy about,1
happy,1
happily support him,1
happily support,1
happily,1
happens with russia,1
happens with,1
happens to me all,1
hard on turning,1
hard otherwise,1
had talked about you,1
has been issuing very,1
has been playing both,1
has been playing,1
has been planning to,1
has been planning,1
has been over for,1
has been over,1
has been offering people,1
has been offering,1
has been issuing,1
has been straightforward,1
has been going on,1
has been going,1
has been desperatly begging,1
has austria been responsive,1
has austria been,1
has austria,1
has asked me to,1
has asked,1
has been playing rather,1
has been straightforward with,1
has around but,1
has cleared,1
has every reason in,1
has every reason,1
has every,1
has definitely worked for,1
has definitely worked,1
has definitely,1
has cleared my head,1
has cleared my,1
has been very very,1
has been talking,1
has been very,1
has been trying to,1
has been trying,1
has been totally silent,1
has been totally,1
has been telling you,1
has been telling,1
has been talking to,1
has around but it,1
has around,1
hard right,1
hard to hear,1
harder not,1
harder,1
hard to work,1
hard to take belgium,1
hard to take,1
hard to say,1
hard to read and,1
hard to read,1
hard to do with,1
harder not to solo,1
hard to do,1
hard to decide whether,1
hard to decide,1
hard to,1
hard sell but so,1
hard sell but,1
hard sell,1
hard right now,1
harder not to,1
harder to,1
has anything better,1
harmony,1
has anything,1
has agreed to vacate,1
has agreed to,1
has agreed,1
has,1
harmony to bring the,1
harmony to bring,1
harmony to,1
harm is there in,1
harder to flip,1
harm is there,1
harm is,1
harm,1
hardly would have mattered,1
hardly would have,1
hardly would,1
hardly,1
harder to flip austria,1
happening is if support,1
happening is if,1
happening is,1
haha it,1
haha yeah well we,1
haha yeah well,1
haha whew,1
haha well,1
haha was just in,1
haha was,1
haha sure turkey,1
haha sure,1
haha have little interest,1
hahaha,1
haha have little,1
haha have,1
haha didn try to,1
haha didn try,1
haha didn,1
haha,1
hadnt considered tri,1
hadnt considered,1
hahah,1
hahaha did,1
hadn spent half the,1
half hour to,1
half the game with,1
half the game,1
half the,1
half paying attention right,1
half paying,1
half of the balkans,1
half of the,1
half of,1
half hour,1
hahaha get,1
half expect italy to,1
half expect italy,1
half expect,1
half confirm the plot,1
half confirm the,1
half asleep,1
hair so,1
hair,1
hadnt,1
hadn spent half,1
happening but you did,1
had the one choice,1
had to,1
had this talk,1
had this,1
had their hands full,1
had their hands,1
had their,1
had the right idea,1
had the right,1
had the one,1
had to go the,1
had the heart to,1
had the heart,1
had the draw set,1
had the draw,1
had the,1
had that support to,1
had that support,1
had that,1
had to go,1
had told,1
hadn spent,1
had you send,1
hadn said anything you,1
hadn said anything,1
hadn said,1
hadn already suspected though,1
hadn already suspected,1
hadn already,1
hadn,1
had you send that,1
had you asked for,1
had told me,1
had you asked,1
had you,1
had us outgunned at,1
had us outgunned,1
had us,1
had updated my,1
had updated,1
had told me he,1
hammering at,1
hammering at turkey,1
hammering at turkey so,1
happen is if,1
happen to turkey while,1
happen to turkey,1
happen to munich,1
happen to be talking,1
happen to be,1
happen next but it,1
happen next,1
happen is if you,1
happen he doesn seem,1
happen when no,1
happen he doesn,1
happen he,1
happen but thats definite,1
happen but thats,1
happen but,1
happen at some point,1
happen at some,1
happen at,1
happen when,1
happen when no one,1
hand austria,1
happened you,1
happening but you,1
happening but,1
happening and they are,1
happening and they,1
happening and,1
happening,1
happened you could turn,1
happened you could,1
happened with belgium,1
happen with,1
happened with,1
happened in the update,1
happened in the,1
happened in,1
happened,1
happen with our neighbors,1
happen with our,1
happen with moscow,1
happen,1
hang of it,1
hang of,1
hand from mao,1
hand that,1
hand over norway and,1
hand over norway,1
hand over,1
hand how am supposed,1
hand how am,1
hand how,1
hand from mao actually,1
hand from,1
hang,1
hand for the first,1
hand for the,1
hand for,1
hand could help you,1
hand could help,1
hand could,1
hand austria has two,1
hand austria has,1
hand that depends,1
hand that depends on,1
hand to,1
hand to me,1
hands full,1
